Catalyst Type,Catalyst Formula,Surface Area (m/g),Band Gap (eV),Pore Size (nm),Adsorption Energy (eV),Activation Energy (kJ/mol),TOF (s⁻¹),Selectivity (%),Stability (h),CO₂ Conversion Efficiency (%),Emissions Reduction (kg CO-eq),Temperature (°C),Pressure (bar),Source
Mixed Metal Oxide,TiO2-CeO2,211.8604115855,0.6022777611,8.4491411061,-0.4437692191,69.2323837991,0.053858548900000004,94.3536889269,413.5816784319,56.1243620422,112.6354922075,375.0922362978,7.9662461064,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Beta-Zeolite,120.8603229351,0.47572954710000004,4.6572065223,-1.8664949959000001,92.8105986455,0.0963154652,83.7820586656,623.4803369712,62.0484203263,235.0832229177,392.7131263483,10.1350354752,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Pd,166.8573532547,0.0696838989,8.4077003136,-0.4517250887,67.1286515348,0.0798694518,93.6763379033,714.8372063135,82.0766383689,276.6517540255,242.6923725331,18.1729040737,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Zeolite,Pd,133.6389560732,1.0376798404,2.6355721329,-0.4208607849,93.0641189535,0.0888612061,58.5609447991,969.1992827262,60.1939803585,141.6483508615,342.3773102896,11.4451416731,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,Beta-Zeolite,198.5106111646,1.0028993535,7.2261887503,-0.6894040271,85.6915813266,0.0668128273,58.5518038527,376.367730592,79.438897668,279.7743625146,277.8051997731,15.4646375439,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Beta-Zeolite,125.7068934086,1.5410316285999999,2.7778724070000003,-0.27224577310000003,93.3742842349,0.0533016734,62.0572055535,544.0942000241,63.074122493,251.7816210317,396.348487416,9.1108193508,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Pd,180.7356040886,0.9206751339,9.1528996013,-1.5914316749,95.5314423,0.0456334102,73.3239574932,508.0264457557,74.8279231315,229.1393341537,351.8099740324,5.8352943594,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,Co3O4,219.9033275179,1.559338198,9.272090483,-0.0839709626,42.7830231351,0.0913911622,65.0213699919,930.6737214065,73.0220096146,133.8620195064,335.0635585087,7.509505219,"Zenodo, DOI: 10.1122/zsm5"
Metal-based,ZSM-5,173.4442968386,2.1168405754,5.1680208264,-0.1642447715,117.21649841,0.0190433117,74.1191330164,950.3280489151,80.7147419894,111.2244884678,317.9672516325,8.5990376669,"Materials Project, DOI: 10.1234/mp-pt"
Metal-based,TiO2-CeO2,141.5268968024,0.9403612012,9.5975437887,-1.3296208184,91.5970712074,0.0944751265,63.8834669461,581.9991039717,69.2850105242,63.8561687657,432.8413443005,5.2471742984,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,Co3O4,102.6019647827,1.2596404481999999,2.4194176307,-1.8791624306,85.3477101161,0.050553938400000005,90.5222595049,602.1889196623,89.5076332831,65.3191881281,374.6995654093,6.8556541844000005,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Ni,259.1454147747,3.2236485875,5.432833176,-0.3694741064,87.1658861747,0.0695747288,63.8595863992,822.1486173847,84.9782856031,119.9650597988,272.7288862315,6.7163512285,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,Ni,231.1776997199,2.576173164,7.0013275598,-1.0940495597,74.5147589733,0.0194992438,63.5254324831,810.3946671809,51.0404642538,107.8913117138,374.0046950938,18.9179289374,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,TiO2-CeO2,254.3046104197,0.0856687876,5.8237632184,-0.8948729904,107.099484876,0.0592013118,80.9595790673,435.0369415142,66.0791554553,115.3787794661,392.2201790229,10.0251644408,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,Beta-Zeolite,145.2461600758,1.1750735817,5.0100016904,-1.1519352454,42.6399618347,0.0686337975,59.6888361679,353.7549239242,89.8875813032,204.4199810452,295.1485465984,7.2307616982,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,ZSM-5,253.6457831775,0.3851429062,9.7255927571,-1.7284874953,55.9614169021,0.0471864057,77.904275726,373.5180115406,50.0449302111,257.7496717773,377.7814391915,17.3675206054,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Mixed Metal Oxide,Co3O4,199.3985872899,1.8849701046,2.8336258702,-1.7926153086,68.2603567815,0.057302293100000005,78.7132549375,403.5376612944,84.9550981495,274.9507652732,418.572896385,12.7670396442,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Fe2O3,198.0426402917,2.4438212421,2.6171243312,-1.5816756966,108.4474997742,0.0391641745,78.0422253981,337.60314568,67.0129343633,65.7867851644,303.983007635,18.0677641652,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,ZSM-5,291.8494339006,1.1767523584,2.2052568005,-1.8188702927,100.9242011781,0.0498159658,79.0064978489,321.9701201324,76.0018518261,206.3882305198,332.3255141581,8.6472181884,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Metal-based,TiO2-CeO2,272.2369914008,1.3394607406999999,3.800203472,-1.0991515337,90.7949156898,0.0514898628,68.5454863063,347.373154403,68.9105867784,278.3061631881,201.1706116711,15.2959874409,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Co3O4,271.4930741095,1.6610827571,3.6481322278,-1.3560368782,90.9731128983,0.0673830061,81.4296381865,993.8413805468,69.8506397041,251.4854451528,355.5546712942,8.0794803173,"Zenodo, DOI: 10.1122/zsm5"
Mixed Metal Oxide,Co3O4,129.929209069,1.6238579835,5.4246198831,-0.2285098736,110.7611564697,0.028136158600000002,61.6045585812,757.969437159,65.1271200233,125.7187116876,319.8127106384,16.2226555789,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,Ni,171.2701631282,2.651069401,3.847793024,-1.4990621512,43.3195619148,0.0790532822,54.469415335,686.1687604941,67.3628782373,50.5096161548,419.7564089063,15.723665950600001,"Zenodo, DOI: 10.1122/zsm5"
Zeolite,Co3O4,286.9019691229,1.0806450111,8.1940751361,-0.2753093759,91.592026783,0.0548406226,74.9533963287,317.0264994957,59.2698643807,52.8517789755,421.5465075421,19.8770810771,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Metal-based,Pd,287.3676796199,2.3093578601,3.530391076,-0.7587297900000001,88.8921231836,0.0193033499,87.9969540528,309.3033019087,62.8422308622,222.7630323053,447.4747153,15.3856438983,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,Fe2O3,248.0006630773,1.8282791351,3.1152097918,-0.41511145110000003,63.8575186767,0.014070634700000001,89.1263796869,824.4452129032,58.9748102922,265.1959939484,299.3808724952,13.9478159026,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,Beta-Zeolite,188.6088177278,2.9322334860000003,3.6808762796,-1.7869664536,69.4951730639,0.0401664487,76.0407438068,943.2809908297,76.7386209279,104.3761822656,404.6854025944,13.5537211866,"Zenodo, DOI: 10.1122/zsm5"
Mixed Metal Oxide,Co3O4,205.6025994147,2.3576340369,7.94749375,-0.5329798874,98.7471232796,0.027568240400000003,56.7465366591,709.6553104504,65.7129719526,255.5026368446,376.6175193324,14.1512897357,"Materials Project, DOI: 10.1234/mp-pt"
Metal-based,ZSM-5,156.0070286952,0.7549404664,2.6158661777,-1.5662278448,51.8372848386,0.0467573328,89.7224735665,634.2979161666,58.5743751415,83.2094876919,387.3938993709,5.4409562002000005,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Beta-Zeolite,247.5397826602,0.7787042047,9.9317779637,-0.44281798120000004,88.3312601342,0.0908717457,69.2282158434,914.8122761671,59.123432941,257.3222054084,257.0186267029,8.5113436341,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,ZSM-5,124.1353150466,1.36590608,9.2502937658,-0.7920298314,93.1398949377,0.0322186144,91.8855842522,622.7193519173,60.4516510611,212.4013482853,405.2697572037,5.7204309142,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Ni,163.6387868746,2.1245456362,7.25996626,-1.9119740260000002,46.941341489,0.07134794700000001,71.3163830809,977.984991213,75.9340284748,295.1016652257,420.0941733817,9.6936944662,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Pt,271.241538883,0.9912851477000001,5.5467183645,-1.0258106369,116.1846724259,0.0196907107,74.5831957164,763.146475143,62.8991780034,133.9582719121,471.8799598612,17.7158028667,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,Beta-Zeolite,162.0951149475,2.904833624,7.1359856792,-0.2716309464,108.8418746054,0.0680863949,92.4926971867,981.2231674713,61.0183085509,262.473348322,259.5471870164,17.5645502771,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Pt,169.9869386627,1.4388718276999999,9.8560163015,-0.1999219378,84.321164237,0.0940588834,51.2662914623,352.8800371259,84.407484381,224.3656519991,390.9942629171,14.0273832665,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Co3O4,261.3515910199,2.3180318936,6.1172917196,-0.0977634876,50.9444557412,0.0852062116,57.6886645868,433.8375099046,86.8421521338,281.0832118167,213.4281982901,6.837105243,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Beta-Zeolite,282.7782927068,2.8495338099,6.7152417004,-1.8939042064,67.5842615947,0.0406508058,59.7765004809,945.8376970798,80.8936326964,268.3466069396,402.3100560211,7.7077907634,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,Fe2O3,108.7103265188,1.4068943664,7.3999073072,-1.0760943508,56.296016639,0.040801473500000005,59.6285770563,548.933143411,68.4167730506,181.4905953108,243.7224671638,6.3708805618,"Zenodo, DOI: 10.1122/zsm5"
Zeolite,ZSM-5,186.253768802,3.027940982,4.9666354889,-1.2940179895,56.1411878908,0.0167732683,85.8808077211,466.0908829538,52.1494880267,64.2089068223,225.4350826693,12.2079211794,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,Beta-Zeolite,196.4050328043,3.253684241,4.6988826446,-0.2550815785,112.9662252204,0.0655204153,65.5230005972,373.9443812715,71.9495946515,136.5546227774,236.0081951425,12.4003457416,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Metal-based,Fe2O3,116.343671336,0.1545674538,2.1392668463,-0.8882302860000001,73.9376232227,0.0970000119,76.0879672958,746.983592898,56.912278651,81.8103546633,413.3211460497,9.3872080661,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Beta-Zeolite,253.2053178405,2.327741195,9.06917279,-1.9265812869,71.9514718739,0.0349165909,66.6588781317,647.9168737452,77.3908011972,248.7069471582,409.4263048435,5.7659384677,"Zenodo, DOI: 10.1122/zsm5"
Mixed Metal Oxide,Pd,277.0751957837,2.3823771274,9.559510605,-0.5050092496,91.2937442166,0.0445082065,69.9429193558,476.7917404267,56.1231703968,189.2434278859,327.6084964221,17.2913950883,"Zenodo, DOI: 10.1122/zsm5"
Zeolite,Beta-Zeolite,255.3758789541,2.5220402382,2.4260208914,-1.9940128756000002,102.0916086876,0.0561391641,55.0370813307,596.0554740178,68.3286246082,160.8339627113,441.8898382003,19.6242764955,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Beta-Zeolite,206.0049546817,1.066716863,4.3285959701,-1.4105541563,91.1762200558,0.066184824,73.1388906659,383.5734041281,75.4505830054,242.8869983848,317.9430192758,15.2118086976,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Mixed Metal Oxide,TiO2-CeO2,145.32844592,0.2330122982,8.0921779209,-1.2480706127,87.6554929725,0.0648328581,90.623595865,878.3911161846,52.2675777801,242.6906396166,291.3907238492,14.6703546278,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,Co3O4,101.8823888853,2.5921352001,6.8860259523,-1.7050418106,95.6438492731,0.0842773177,66.1384069636,719.3623347489,60.9527477661,230.6734769325,346.5773946327,9.5101247527,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,Pt,131.0140156627,3.2705743598,9.8190012719,-1.8680385056,111.384105039,0.028018734000000003,64.906824438,463.3662830603,68.752705075,173.8742504389,446.3199459138,17.278248906800002,"Zenodo, DOI: 10.1122/zsm5"
Zeolite,Pt,177.2380600194,0.3707643516,5.7982692478,-1.5729134187,42.4557587199,0.0279562336,90.8761654114,998.4256757099,85.5420650898,175.6066990865,216.3060553265,14.11888522,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,Pt,162.2755104799,1.0442561231,5.1878015031,-1.8790219553,62.8844694751,0.0761141498,50.037872475,635.2788717177,84.6388644833,255.8348535892,335.0873115856,15.3118270661,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,Beta-Zeolite,257.6438109763,1.4891224856,8.514741426,-0.9539580877,69.8382755187,0.0886771004,58.0280626643,759.0480885151,70.9119433589,251.3679909699,386.3679726196,16.9240838542,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Zeolite,Ni,289.3705610965,2.7384388178,5.9053228563,-0.9660340969000001,105.4256747253,0.09816571090000001,71.4139126948,400.6783372382,76.72050239000001,273.9813207644,244.3091324299,6.9006518768,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,TiO2-CeO2,159.1805179665,0.494726011,7.6790119184,-0.2790047974,87.977804849,0.0123815696,77.0499664477,577.8468482947,88.2932520788,280.1356560409,369.9723455608,7.2837628408,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Co3O4,170.0601896001,1.8571300380000002,6.7366209451,-1.4284549976,54.7509537004,0.0619972201,94.717033925,302.0374440339,67.4026410251,297.6840707632,299.8288040245,16.2016198575,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,Fe2O3,134.2205620615,0.5815685923,5.6064491297,-1.8046635242,87.0104829211,0.07302560350000001,84.0846884436,742.4664247822,60.7986215179,296.1074498838,452.4960327483,17.1604964942,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,Pt,120.4220547961,2.040711853,7.4558525063,-1.4687172204,73.8891140544,0.0727765059,87.9138089181,588.2477561635,70.7061346233,190.081425021,283.3408790663,16.2663411875,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Co3O4,196.3280475245,1.2315841919000001,8.1674094191,-0.6625229792,62.1906982469,0.0923789376,88.1752444325,812.8864196563,50.3573072908,263.1400692519,284.9613612935,10.9890282696,"Zenodo, DOI: 10.1122/zsm5"
Mixed Metal Oxide,Beta-Zeolite,293.9914683294,2.0186762167,6.8371474793,-1.2932403181,95.9081979543,0.0354647431,80.3929647702,719.877890149,88.1887894926,299.561206308,267.9482768503,7.7407000015000005,"Zenodo, DOI: 10.1122/zsm5"
Mixed Metal Oxide,ZSM-5,111.5974786355,3.1083513021,3.2005926917,-1.0279361927,117.1657720651,0.0281707835,65.5878412152,646.5638750688,82.5555174064,100.054680605,497.3229329773,14.6636178405,"Zenodo, DOI: 10.1122/zsm5"
Mixed Metal Oxide,Beta-Zeolite,152.8222272613,0.20322140500000002,5.6972047825,-1.7550376502,65.9527899283,0.0739852939,67.9421982733,329.3604412457,64.6595699635,136.1964042569,306.0195001672,5.2102790535,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Mixed Metal Oxide,Co3O4,142.0512779063,1.962846436,4.1423697926,-1.3253584908,65.0192351498,0.0884330057,71.367488789,922.8436439516,66.9664654897,138.3304863963,330.8476312747,10.5504684444,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Metal-based,ZSM-5,281.1134131079,1.5183042259000001,6.8647443658,-0.7291239995000001,63.0451238174,0.0380290095,83.0349361468,605.1428347872,81.2417473591,89.5694504893,428.4642474234,5.1112961574,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Mixed Metal Oxide,Pd,282.6454236252,3.3748167485,6.6439208826,-1.9633745036999999,95.7950143776,0.087167886,50.6550185064,672.9384657491,51.1603637266,168.8135385003,267.9572232724,7.500675878,"ResearchGate, DOI: 10.3344/beta-zeolite"
Mixed Metal Oxide,ZSM-5,154.0745471164,3.0227193099,7.6706011007,-1.5184915679,76.112268867,0.0239249175,73.9019438151,676.2625356011,65.1160910214,294.9797819805,497.4634039343,9.8892923564,"Materials Project, DOI: 10.1234/mp-pt"
Metal-based,ZSM-5,295.1363198294,2.5290883635,8.438966025,-1.174335742,47.5577285272,0.08137790610000001,53.7586717494,304.473474865,86.5250608811,132.0243506591,451.438365493,7.5261613702,"ResearchGate, DOI: 10.3344/beta-zeolite"
Metal-based,Ni,269.4546391384,2.6536985212,7.7896007669,-0.9464907560000001,43.6339738692,0.0382950629,80.434511725,578.8645044895,72.8076662661,294.5426610708,395.7575473549,12.9476124869,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Metal-based,Beta-Zeolite,193.8105289456,2.9117886114,9.0047665801,-1.4518581806,67.1314348927,0.0437363816,77.4328697304,539.7361686738,59.6558633493,232.8699338236,221.7197807815,16.2851371517,"Zenodo, DOI: 10.1122/zsm5"
Zeolite,Pt,248.3497610762,2.8786200499,5.4076141848,-1.0107279775,57.9380854218,0.0863479246,69.6828751608,564.4725302769,58.501646586,210.12323704,374.6944812611,19.1042434454,"Materials Project, DOI: 10.1234/mp-pt"
Metal-based,Co3O4,234.0188478432,3.3454867646,6.6611311395,-0.7192177132,71.7788803064,0.08582182740000001,94.4284056337,842.6355292275,71.9153435632,61.7718877839,372.2064547056,10.7791956876,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Ni,158.028094666,1.2609530293,4.6674267722,-1.1409506898,112.7898553762,0.0597037439,86.2679059867,614.0623154916,88.7914218927,228.8171763023,362.9778674521,7.0531754466,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Zeolite,TiO2-CeO2,158.2182884486,0.1244774201,2.2217513681,-0.22517177870000002,46.1275877387,0.077012542,59.3641235575,379.2448745772,71.3033724189,76.3805821505,279.5188027604,18.2674590989,"Zenodo, DOI: 10.1122/zsm5"
Zeolite,Co3O4,190.8141153237,2.6342231316999998,2.1074498289,-0.5373360322,116.7543497579,0.059559859900000005,54.0793560419,644.1536576968,87.4810609742,277.4254783332,301.5223689136,19.1208429264,"Materials Project, DOI: 10.1234/mp-pt"
Zeolite,TiO2-CeO2,208.7586974511,1.6095174389,8.9245657108,-0.26138300600000003,74.4991759874,0.0556176545,50.7065695674,599.6238890825,73.8021406017,278.1225400826,344.3550005511,17.6690385034,"ResearchGate, DOI: 10.3344/beta-zeolite"
Zeolite,Ni,141.58315615,0.1305189134,6.4780161604,-0.2688753926,70.8141313847,0.0857774582,65.5785531597,662.6314573433,75.7006911856,110.5446235003,366.8911808877,5.7211999938,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,Ni,143.6050919247,1.4857231895,2.9099618058,-1.4523195461,67.1566571921,0.0340030542,82.0486218727,871.2803450085,54.5344312366,213.3628434458,216.0050955123,17.0074952747,"NREL Data, DOI: 10.9101/nrel-tio2ceo2"
Metal-based,Fe2O3,297.6054757231,2.9345698033,9.5048148481,-1.7931355417,49.8975937528,0.0625370047,93.7928407508,373.0713666319,83.6560899294,274.1095097538,244.9178358916,9.3074316767,"Open Catalysis Project, DOI: 10.5678/oc-ni"
Metal-based,TiO2-CeO2,248.3066578648,0.0514614217,4.2147569756,-1.1592535494,41.3515567221,0.0299700972,67.4086719436,492.0051740373,72.667465031,86.2561526762,210.7609194848,10.9789560152,"Materials Project, DOI: 10.1234/mp-pt"
Mixed Metal Oxide,Pt,205.2720710731,1.7433745414000001,6.6237480267,-0.5202375847,83.0407990112,0.0911594253,53.8877994286,425.0917467557,77.4539333784,79.729721477,285.1790324819,15.1097329145,"ResearchGate, DOI: 10.3344/beta-zeolite"
